system:index,NDVI_mean,NDVI_stdDev,date,feature_id,.geo
00000000000000000000_20200105T112349_20200105T112437_T29TPE,0.4275114049700224,0.17537677602815877,2020-01-05,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200110T112431_20200110T112436_T29TPE,0.40726285926919087,0.15975985723842845,2020-01-10,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200120T112401_20200120T112435_T29TPE,0.421868651687067,0.16468986109438694,2020-01-20,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200219T112111_20200219T112435_T29TPE,0.37216332875756164,0.1224223251443466,2020-02-19,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200224T112109_20200224T112421_T29TPE,0.3789887516996591,0.13659212996369463,2020-02-24,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200310T112111_20200310T112439_T29TPE,0.32192728462573394,0.11429363151660317,2020-03-10,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200315T112109_20200315T112755_T29TPE,0.35466653256225783,0.0940695143490593,2020-03-15,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200325T112109_20200325T112516_T29TPE,0.34351569282171796,0.11883779817553786,2020-03-25,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200524T112119_20200524T112114_T29TPE,0.3054664003608146,0.10395332857655573,2020-05-24,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200529T112121_20200529T112609_T29TPE,0.2739914815987595,0.09853976692984638,2020-05-29,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200608T112121_20200608T112449_T29TPE,0.03472006852373727,0.03113326912623205,2020-06-08,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200618T112121_20200618T112536_T29TPE,0.29800728046301683,0.13092701084665298,2020-06-18,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200623T112119_20200623T112637_T29TPE,0.28022012911606164,0.10320065739203095,2020-06-23,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200628T112121_20200628T112608_T29TPE,0.2667546462193262,0.10115993565849186,2020-06-28,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200703T112119_20200703T112730_T29TPE,0.29149314786680003,0.10049870388020724,2020-07-03,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200708T112121_20200708T112447_T29TPE,0.2756802837497451,0.09824570382987734,2020-07-08,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200713T112119_20200713T112115_T29TPE,0.28627829594217263,0.10271923277348464,2020-07-13,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200718T112121_20200718T112448_T29TPE,0.2694467082151881,0.09100671034889478,2020-07-18,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200723T112119_20200723T112419_T29TPE,0.2973373417344323,0.10459373480524768,2020-07-23,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200728T112121_20200728T112600_T29TPE,0.2836218350607013,0.10281618544806415,2020-07-28,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200802T112119_20200802T112120_T29TPE,0.34579365711998167,0.1328389945079573,2020-08-02,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200807T112121_20200807T112449_T29TPE,0.2802029185097835,0.10788539044795435,2020-08-07,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200822T112119_20200822T112117_T29TPE,0.3043296032759476,0.09862015972644408,2020-08-22,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200827T112121_20200827T112452_T29TPE,0.26414419457069527,0.08738350401681327,2020-08-27,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200901T112119_20200901T112648_T29TPE,0.263879945882599,0.07690663328112103,2020-09-01,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200906T112121_20200906T112451_T29TPE,0.25767942687659723,0.0860934245866169,2020-09-06,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200921T112119_20200921T112115_T29TPE,0.3105858818888045,0.12169849548691809,2020-09-21,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20200926T112121_20200926T112452_T29TPE,0.2844448853763717,0.10473485464036153,2020-09-26,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20201006T112121_20201006T112455_T29TPE,0.2914776581614106,0.10555438618953238,2020-10-06,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20201011T112119_20201011T112135_T29TPE,0.3445493099374658,0.13701538027523655,2020-10-11,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20201110T112309_20201110T112450_T29TPE,0.4555501025654273,0.15181684566079473,2020-11-10,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20201120T112359_20201120T112447_T29TPE,0.40443074767267706,0.10762620554094754,2020-11-20,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20201205T112441_20201205T112447_T29TPE,0.3657977253378564,0.09052105027980345,2020-12-05,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20201220T112359_20201220T112444_T29TPE,0.31171174030110643,0.07925171122299733,2020-12-20,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20201230T112359_20201230T112446_T29TPE,0.3506859064258146,0.09996264154322451,2020-12-30,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210114T112431_20210114T112450_T29TPE,0.32080565930832255,0.09855901536660136,2021-01-14,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210213T112151_20210213T112445_T29TPE,0.31961131121414893,0.09968425510479,2021-02-13,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210223T112111_20210223T112449_T29TPE,0.3073853945171582,0.09765481098949838,2021-02-23,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210228T112109_20210228T112803_T29TPE,0.3404184250460326,0.11373485669486719,2021-02-28,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210310T112119_20210310T112113_T29TPE,0.3505759229917591,0.11810441585938374,2021-03-10,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210315T112111_20210315T112446_T29TPE,0.32230969394882847,0.09783546338324904,2021-03-15,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210320T112109_20210320T112112_T29TPE,0.3734644817060952,0.12258397021742336,2021-03-20,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210325T112111_20210325T112409_T29TPE,0.3094802141790138,0.09153485468532432,2021-03-25,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210404T112111_20210404T112443_T29TPE,0.3399074138298116,0.09033342785550007,2021-04-04,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210504T112111_20210504T112445_T29TPE,0.3439294647256086,0.09935925188750132,2021-05-04,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210514T112111_20210514T112449_T29TPE,0.3443485509417308,0.0963389889750868,2021-05-14,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210519T112119_20210519T112113_T29TPE,0.34923632176821207,0.07766554884278223,2021-05-19,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210529T112119_20210529T112823_T29TPE,0.3241627594975196,0.09425310769674343,2021-05-29,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210608T112119_20210608T112114_T29TPE,0.3840632592051806,0.12877738836519592,2021-06-08,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210613T112111_20210613T112447_T29TPE,0.34673415081323966,0.11799283542261432,2021-06-13,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210623T112121_20210623T112448_T29TPE,0.3571561715669516,0.13997912382865949,2021-06-23,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210628T112119_20210628T112114_T29TPE,0.3514790044072817,0.12134613543284604,2021-06-28,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210703T112121_20210703T112449_T29TPE,0.31846552153175306,0.12881067993815878,2021-07-03,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210708T112119_20210708T112115_T29TPE,0.34852574253552404,0.121029273649475,2021-07-08,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20210713T112121_20210713T112450_T29TPE,0.3401618177087065,0.12706999738288274,2021-07-13,00000000000000000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
